sample_period,village,chicken_breed,Antibiotic,Susceptibility ,Average Percentage of Susceptibility
0,1,1,AM,Intermediate,6.779661017
0,1,1,AMC,Intermediate,57.62711864
0,1,1,CTX,Intermediate,5.084745763
0,1,1,CF,Intermediate,15.25423729
0,1,1,C,Intermediate,0
0,1,1,CIP,Intermediate,16.94915254
0,1,1,SXT,Intermediate,0
0,1,1,GM,Intermediate,5.084745763
0,1,1,S,Intermediate,3.389830508
0,1,1,TE,Intermediate,0
0,1,1,G,Intermediate,5.084745763
0,1,1,ENO,Intermediate,42.37288136
0,0,0,AM,Intermediate,23.07692308
0,0,0,AMC,Intermediate,7.692307692
0,0,0,CTX,Intermediate,9.79020979
0,0,0,CF,Intermediate,56.64335664
0,0,0,C,Intermediate,2.097902098
0,0,0,CIP,Intermediate,9.090909091
0,0,0,SXT,Intermediate,0.699300699
0,0,0,GM,Intermediate,2.097902098
0,0,0,S,Intermediate,69.23076923
0,0,0,TE,Intermediate,0.699300699
0,0,0,G,Intermediate,12.58741259
0,0,0,ENO,Intermediate,16.1971831
1,1,1,AM,Intermediate,10
1,1,1,AMC,Intermediate,25
1,1,1,CTX,Intermediate,10
1,1,1,CF,Intermediate,41.66666667
1,1,1,C,Intermediate,5
1,1,1,CIP,Intermediate,16.66666667
1,1,1,SXT,Intermediate,0
1,1,1,GM,Intermediate,3.389830508
1,1,1,S,Intermediate,17.24137931
1,1,1,TE,Intermediate,0
1,1,1,G,Intermediate,5.454545455
1,1,1,ENO,Intermediate,27.45098039
0,1,0,AM,Intermediate,19.68503937
0,1,0,AMC,Intermediate,27.55905512
0,1,0,CTX,Intermediate,9.448818898
0,1,0,CF,Intermediate,52.75590551
0,1,0,C,Intermediate,11.02362205
0,1,0,CIP,Intermediate,13.38582677
0,1,0,SXT,Intermediate,0
0,1,0,GM,Intermediate,9.448818898
0,1,0,S,Intermediate,45.66929134
0,1,0,TE,Intermediate,0
0,1,0,G,Intermediate,6.299212598
0,1,0,ENO,Intermediate,24.8
1,1,0,AM,Intermediate,17.43589744
1,1,0,AMC,Intermediate,23.07692308
1,1,0,CTX,Intermediate,12.82051282
1,1,0,CF,Intermediate,42.56410256
1,1,0,C,Intermediate,10.76923077
1,1,0,CIP,Intermediate,14.87179487
1,1,0,SXT,Intermediate,5.641025641
1,1,0,GM,Intermediate,6.666666667
1,1,0,S,Intermediate,48.96907216
1,1,0,TE,Intermediate,0.518134715
1,1,0,G,Intermediate,6.770833333
1,1,0,ENO,Intermediate,32.69230769
0,1,1,AM,Resistant,88.13559322
0,1,1,AMC,Resistant,20.33898305
0,1,1,CTX,Resistant,66.10169492
0,1,1,CF,Resistant,79.66101695
0,1,1,C,Resistant,22.03389831
0,1,1,CIP,Resistant,52.54237288
0,1,1,SXT,Resistant,86.44067797
0,1,1,GM,Resistant,50.84745763
0,1,1,S,Resistant,96.61016949
0,1,1,TE,Resistant,94.91525424
0,1,1,G,Resistant,86.44067797
0,1,1,ENO,Resistant,40.6779661
0,0,0,AM,Resistant,69.23076923
0,0,0,AMC,Resistant,0.699300699
0,0,0,CTX,Resistant,1.398601399
0,0,0,CF,Resistant,30.06993007
0,0,0,C,Resistant,9.79020979
0,0,0,CIP,Resistant,1.398601399
0,0,0,SXT,Resistant,9.79020979
0,0,0,GM,Resistant,0
0,0,0,S,Resistant,13.98601399
0,0,0,TE,Resistant,37.06293706
0,0,0,G,Resistant,18.18181818
0,0,0,ENO,Resistant,1.408450704
1,1,1,AM,Resistant,40
1,1,1,AMC,Resistant,10
1,1,1,CTX,Resistant,73.33333333
1,1,1,CF,Resistant,40
1,1,1,C,Resistant,45
1,1,1,CIP,Resistant,20
1,1,1,SXT,Resistant,50.84745763
1,1,1,GM,Resistant,11.86440678
1,1,1,S,Resistant,72.4137931
1,1,1,TE,Resistant,76.36363636
1,1,1,G,Resistant,74.54545455
1,1,1,ENO,Resistant,25.49019608
0,1,0,AM,Resistant,31.49606299
0,1,0,AMC,Resistant,0
0,1,0,CTX,Resistant,2.362204724
0,1,0,CF,Resistant,28.34645669
0,1,0,C,Resistant,18.8976378
0,1,0,CIP,Resistant,4.724409449
0,1,0,SXT,Resistant,37.00787402
0,1,0,GM,Resistant,5.511811024
0,1,0,S,Resistant,51.18110236
0,1,0,TE,Resistant,57.48031496
0,1,0,G,Resistant,44.88188976
0,1,0,ENO,Resistant,6.4
1,1,0,AM,Resistant,19.48717949
1,1,0,AMC,Resistant,2.564102564
1,1,0,CTX,Resistant,17.94871795
1,1,0,CF,Resistant,28.71794872
1,1,0,C,Resistant,19.48717949
1,1,0,CIP,Resistant,7.179487179
1,1,0,SXT,Resistant,18.46153846
1,1,0,GM,Resistant,6.153846154
1,1,0,S,Resistant,21.64948454
1,1,0,TE,Resistant,48.1865285
1,1,0,G,Resistant,33.33333333
1,1,0,ENO,Resistant,5.769230769
